market_hash_name,side,price,quantity,description,scraped_at,best_buy_price,best_sell_price,buy_sell_spread_abs,buy_sell_spread_pct
Revolution Case,buy,0.47,71,71 buy orders at $0.47 or higher,2026-05-12 18:44:29.306279,0.47,0.48,0.010000000000000009,0.020833333333333353
Revolution Case,buy,0.46,3130,"3,130 buy orders at $0.46 or higher",2026-05-12 18:44:29.306279,0.47,0.48,0.010000000000000009,0.020833333333333353
Revolution Case,buy,0.43,11585,"11,585 buy orders at $0.43 or higher",2026-05-12 18:44:29.306279,0.47,0.48,0.010000000000000009,0.020833333333333353
Revolution Case,buy,0.42,27298,"27,298 buy orders at $0.42 or higher",2026-05-12 18:44:29.306279,0.47,0.48,0.010000000000000009,0.020833333333333353
Revolution Case,buy,0.41,59838,"59,838 buy orders at $0.41 or higher",2026-05-12 18:44:29.306279,0.47,0.48,0.010000000000000009,0.020833333333333353
Revolution Case,buy,0.4,83446,"83,446 buy orders at $0.40 or higher",2026-05-12 18:44:29.306279,0.47,0.48,0.010000000000000009,0.020833333333333353
Revolution Case,buy,0.39,154393,"154,393 buy orders at $0.39 or higher",2026-05-12 18:44:29.306279,0.47,0.48,0.010000000000000009,0.020833333333333353
Revolution Case,buy,0.38,192353,"192,353 buy orders at $0.38 or higher",2026-05-12 18:44:29.306279,0.47,0.48,0.010000000000000009,0.020833333333333353
Revolution Case,buy,0.37,250514,"250,514 buy orders at $0.37 or higher",2026-05-12 18:44:29.306279,0.47,0.48,0.010000000000000009,0.020833333333333353
Revolution Case,buy,0.36,309798,"309,798 buy orders at $0.36 or higher",2026-05-12 18:44:29.306279,0.47,0.48,0.010000000000000009,0.020833333333333353
Revolution Case,buy,0.35,416031,"416,031 buy orders at $0.35 or higher",2026-05-12 18:44:29.306279,0.47,0.48,0.010000000000000009,0.020833333333333353
Revolution Case,buy,0.34,486247,"486,247 buy orders at $0.34 or higher",2026-05-12 18:44:29.306279,0.47,0.48,0.010000000000000009,0.020833333333333353
Revolution Case,buy,0.32,602726,"602,726 buy orders at $0.32 or higher",2026-05-12 18:44:29.306279,0.47,0.48,0.010000000000000009,0.020833333333333353
Revolution Case,buy,0.31,666876,"666,876 buy orders at $0.31 or higher",2026-05-12 18:44:29.306279,0.47,0.48,0.010000000000000009,0.020833333333333353
Revolution Case,buy,0.3,783486,"783,486 buy orders at $0.30 or higher",2026-05-12 18:44:29.306279,0.47,0.48,0.010000000000000009,0.020833333333333353
Revolution Case,buy,0.29,904458,"904,458 buy orders at $0.29 or higher",2026-05-12 18:44:29.306279,0.47,0.48,0.010000000000000009,0.020833333333333353
Revolution Case,buy,0.28,1020781,"1,020,781 buy orders at $0.28 or higher",2026-05-12 18:44:29.306279,0.47,0.48,0.010000000000000009,0.020833333333333353
Revolution Case,buy,0.27,1124318,"1,124,318 buy orders at $0.27 or higher",2026-05-12 18:44:29.306279,0.47,0.48,0.010000000000000009,0.020833333333333353
Revolution Case,buy,0.26,1272512,"1,272,512 buy orders at $0.26 or higher",2026-05-12 18:44:29.306279,0.47,0.48,0.010000000000000009,0.020833333333333353
Revolution Case,buy,0.25,1386690,"1,386,690 buy orders at $0.25 or higher",2026-05-12 18:44:29.306279,0.47,0.48,0.010000000000000009,0.020833333333333353
Revolution Case,buy,0.24,1448721,"1,448,721 buy orders at $0.24 or higher",2026-05-12 18:44:29.306279,0.47,0.48,0.010000000000000009,0.020833333333333353
Revolution Case,buy,0.23,1549855,"1,549,855 buy orders at $0.23 or higher",2026-05-12 18:44:29.306279,0.47,0.48,0.010000000000000009,0.020833333333333353
Revolution Case,buy,0.21,1602577,"1,602,577 buy orders at $0.21 or higher",2026-05-12 18:44:29.306279,0.47,0.48,0.010000000000000009,0.020833333333333353
Revolution Case,buy,0.2,1710683,"1,710,683 buy orders at $0.20 or higher",2026-05-12 18:44:29.306279,0.47,0.48,0.010000000000000009,0.020833333333333353
Revolution Case,buy,0.19,1788060,"1,788,060 buy orders at $0.19 or higher",2026-05-12 18:44:29.306279,0.47,0.48,0.010000000000000009,0.020833333333333353
Revolution Case,buy,0.18,1840926,"1,840,926 buy orders at $0.18 or higher",2026-05-12 18:44:29.306279,0.47,0.48,0.010000000000000009,0.020833333333333353
Revolution Case,buy,0.17,1934365,"1,934,365 buy orders at $0.17 or higher",2026-05-12 18:44:29.306279,0.47,0.48,0.010000000000000009,0.020833333333333353
Revolution Case,buy,0.16,1983030,"1,983,030 buy orders at $0.16 or higher",2026-05-12 18:44:29.306279,0.47,0.48,0.010000000000000009,0.020833333333333353
Revolution Case,buy,0.15,2073240,"2,073,240 buy orders at $0.15 or higher",2026-05-12 18:44:29.306279,0.47,0.48,0.010000000000000009,0.020833333333333353
Revolution Case,buy,0.14,2132090,"2,132,090 buy orders at $0.14 or higher",2026-05-12 18:44:29.306279,0.47,0.48,0.010000000000000009,0.020833333333333353
Revolution Case,buy,0.13,2176777,"2,176,777 buy orders at $0.13 or higher",2026-05-12 18:44:29.306279,0.47,0.48,0.010000000000000009,0.020833333333333353
Revolution Case,buy,0.12,2281860,"2,281,860 buy orders at $0.12 or higher",2026-05-12 18:44:29.306279,0.47,0.48,0.010000000000000009,0.020833333333333353
Revolution Case,buy,0.11,2342572,"2,342,572 buy orders at $0.11 or higher",2026-05-12 18:44:29.306279,0.47,0.48,0.010000000000000009,0.020833333333333353
Revolution Case,buy,0.1,2443796,"2,443,796 buy orders at $0.10 or higher",2026-05-12 18:44:29.306279,0.47,0.48,0.010000000000000009,0.020833333333333353
Revolution Case,buy,0.09,2543467,"2,543,467 buy orders at $0.09 or higher",2026-05-12 18:44:29.306279,0.47,0.48,0.010000000000000009,0.020833333333333353
Revolution Case,buy,0.08,2761450,"2,761,450 buy orders at $0.08 or higher",2026-05-12 18:44:29.306279,0.47,0.48,0.010000000000000009,0.020833333333333353
Revolution Case,buy,0.07,2942940,"2,942,940 buy orders at $0.07 or higher",2026-05-12 18:44:29.306279,0.47,0.48,0.010000000000000009,0.020833333333333353
Revolution Case,buy,0.06,3156361,"3,156,361 buy orders at $0.06 or higher",2026-05-12 18:44:29.306279,0.47,0.48,0.010000000000000009,0.020833333333333353
Revolution Case,buy,0.05,3286233,"3,286,233 buy orders at $0.05 or higher",2026-05-12 18:44:29.306279,0.47,0.48,0.010000000000000009,0.020833333333333353
Revolution Case,buy,0.04,3401340,"3,401,340 buy orders at $0.04 or higher",2026-05-12 18:44:29.306279,0.47,0.48,0.010000000000000009,0.020833333333333353
Revolution Case,buy,0.03,3689822,"3,689,822 buy orders at $0.03 or higher",2026-05-12 18:44:29.306279,0.47,0.48,0.010000000000000009,0.020833333333333353
Revolution Case,sell,0.48,4,4 sell orders at $0.48 or lower,2026-05-12 18:44:29.306279,0.47,0.48,0.010000000000000009,0.020833333333333353
Revolution Case,sell,0.49,4254,"4,254 sell orders at $0.49 or lower",2026-05-12 18:44:29.306279,0.47,0.48,0.010000000000000009,0.020833333333333353
Revolution Case,sell,0.5,22049,"22,049 sell orders at $0.50 or lower",2026-05-12 18:44:29.306279,0.47,0.48,0.010000000000000009,0.020833333333333353
Revolution Case,sell,0.51,38992,"38,992 sell orders at $0.51 or lower",2026-05-12 18:44:29.306279,0.47,0.48,0.010000000000000009,0.020833333333333353
Revolution Case,sell,0.52,58348,"58,348 sell orders at $0.52 or lower",2026-05-12 18:44:29.306279,0.47,0.48,0.010000000000000009,0.020833333333333353
Revolution Case,sell,0.53,67400,"67,400 sell orders at $0.53 or lower",2026-05-12 18:44:29.306279,0.47,0.48,0.010000000000000009,0.020833333333333353
Revolution Case,sell,0.54,83774,"83,774 sell orders at $0.54 or lower",2026-05-12 18:44:29.306279,0.47,0.48,0.010000000000000009,0.020833333333333353
Revolution Case,sell,0.55,95044,"95,044 sell orders at $0.55 or lower",2026-05-12 18:44:29.306279,0.47,0.48,0.010000000000000009,0.020833333333333353
Revolution Case,sell,0.57,111593,"111,593 sell orders at $0.57 or lower",2026-05-12 18:44:29.306279,0.47,0.48,0.010000000000000009,0.020833333333333353
Revolution Case,sell,0.58,123563,"123,563 sell orders at $0.58 or lower",2026-05-12 18:44:29.306279,0.47,0.48,0.010000000000000009,0.020833333333333353
Revolution Case,sell,0.59,137519,"137,519 sell orders at $0.59 or lower",2026-05-12 18:44:29.306279,0.47,0.48,0.010000000000000009,0.020833333333333353
Revolution Case,sell,0.6,150741,"150,741 sell orders at $0.60 or lower",2026-05-12 18:44:29.306279,0.47,0.48,0.010000000000000009,0.020833333333333353
Revolution Case,sell,0.61,155534,"155,534 sell orders at $0.61 or lower",2026-05-12 18:44:29.306279,0.47,0.48,0.010000000000000009,0.020833333333333353
Revolution Case,sell,0.62,162804,"162,804 sell orders at $0.62 or lower",2026-05-12 18:44:29.306279,0.47,0.48,0.010000000000000009,0.020833333333333353
Revolution Case,sell,0.63,168064,"168,064 sell orders at $0.63 or lower",2026-05-12 18:44:29.306279,0.47,0.48,0.010000000000000009,0.020833333333333353
Revolution Case,sell,0.64,172542,"172,542 sell orders at $0.64 or lower",2026-05-12 18:44:29.306279,0.47,0.48,0.010000000000000009,0.020833333333333353
Revolution Case,sell,0.65,177095,"177,095 sell orders at $0.65 or lower",2026-05-12 18:44:29.306279,0.47,0.48,0.010000000000000009,0.020833333333333353
Revolution Case,sell,0.66,187465,"187,465 sell orders at $0.66 or lower",2026-05-12 18:44:29.306279,0.47,0.48,0.010000000000000009,0.020833333333333353
Revolution Case,sell,0.69,191262,"191,262 sell orders at $0.69 or lower",2026-05-12 18:44:29.306279,0.47,0.48,0.010000000000000009,0.020833333333333353
Revolution Case,sell,0.7,193287,"193,287 sell orders at $0.70 or lower",2026-05-12 18:44:29.306279,0.47,0.48,0.010000000000000009,0.020833333333333353
Revolution Case,sell,0.71,196972,"196,972 sell orders at $0.71 or lower",2026-05-12 18:44:29.306279,0.47,0.48,0.010000000000000009,0.020833333333333353
Revolution Case,sell,0.72,197890,"197,890 sell orders at $0.72 or lower",2026-05-12 18:44:29.306279,0.47,0.48,0.010000000000000009,0.020833333333333353
Revolution Case,sell,0.73,199743,"199,743 sell orders at $0.73 or lower",2026-05-12 18:44:29.306279,0.47,0.48,0.010000000000000009,0.020833333333333353
Revolution Case,sell,0.74,201333,"201,333 sell orders at $0.74 or lower",2026-05-12 18:44:29.306279,0.47,0.48,0.010000000000000009,0.020833333333333353
Revolution Case,sell,0.75,201861,"201,861 sell orders at $0.75 or lower",2026-05-12 18:44:29.306279,0.47,0.48,0.010000000000000009,0.020833333333333353
Revolution Case,sell,0.76,202075,"202,075 sell orders at $0.76 or lower",2026-05-12 18:44:29.306279,0.47,0.48,0.010000000000000009,0.020833333333333353
Revolution Case,sell,0.77,204383,"204,383 sell orders at $0.77 or lower",2026-05-12 18:44:29.306279,0.47,0.48,0.010000000000000009,0.020833333333333353
Revolution Case,sell,0.78,204931,"204,931 sell orders at $0.78 or lower",2026-05-12 18:44:29.306279,0.47,0.48,0.010000000000000009,0.020833333333333353
