market_hash_name,side,price,quantity,description,scraped_at,best_buy_price,best_sell_price,buy_sell_spread_abs,buy_sell_spread_pct
Revolution Case,buy,0.48,4,4 buy orders at $0.48 or higher,2026-05-12 18:45:10.881302,0.48,0.49,0.010000000000000009,0.02040816326530614
Revolution Case,buy,0.47,60,60 buy orders at $0.47 or higher,2026-05-12 18:45:10.881302,0.48,0.49,0.010000000000000009,0.02040816326530614
Revolution Case,buy,0.46,3118,"3,118 buy orders at $0.46 or higher",2026-05-12 18:45:10.881302,0.48,0.49,0.010000000000000009,0.02040816326530614
Revolution Case,buy,0.43,11571,"11,571 buy orders at $0.43 or higher",2026-05-12 18:45:10.881302,0.48,0.49,0.010000000000000009,0.02040816326530614
Revolution Case,buy,0.42,27283,"27,283 buy orders at $0.42 or higher",2026-05-12 18:45:10.881302,0.48,0.49,0.010000000000000009,0.02040816326530614
Revolution Case,buy,0.41,59822,"59,822 buy orders at $0.41 or higher",2026-05-12 18:45:10.881302,0.48,0.49,0.010000000000000009,0.02040816326530614
Revolution Case,buy,0.4,83429,"83,429 buy orders at $0.40 or higher",2026-05-12 18:45:10.881302,0.48,0.49,0.010000000000000009,0.02040816326530614
Revolution Case,buy,0.39,154376,"154,376 buy orders at $0.39 or higher",2026-05-12 18:45:10.881302,0.48,0.49,0.010000000000000009,0.02040816326530614
Revolution Case,buy,0.38,192336,"192,336 buy orders at $0.38 or higher",2026-05-12 18:45:10.881302,0.48,0.49,0.010000000000000009,0.02040816326530614
Revolution Case,buy,0.37,250497,"250,497 buy orders at $0.37 or higher",2026-05-12 18:45:10.881302,0.48,0.49,0.010000000000000009,0.02040816326530614
Revolution Case,buy,0.36,309781,"309,781 buy orders at $0.36 or higher",2026-05-12 18:45:10.881302,0.48,0.49,0.010000000000000009,0.02040816326530614
Revolution Case,buy,0.35,416014,"416,014 buy orders at $0.35 or higher",2026-05-12 18:45:10.881302,0.48,0.49,0.010000000000000009,0.02040816326530614
Revolution Case,buy,0.34,486230,"486,230 buy orders at $0.34 or higher",2026-05-12 18:45:10.881302,0.48,0.49,0.010000000000000009,0.02040816326530614
Revolution Case,buy,0.32,602709,"602,709 buy orders at $0.32 or higher",2026-05-12 18:45:10.881302,0.48,0.49,0.010000000000000009,0.02040816326530614
Revolution Case,buy,0.31,666859,"666,859 buy orders at $0.31 or higher",2026-05-12 18:45:10.881302,0.48,0.49,0.010000000000000009,0.02040816326530614
Revolution Case,buy,0.3,783469,"783,469 buy orders at $0.30 or higher",2026-05-12 18:45:10.881302,0.48,0.49,0.010000000000000009,0.02040816326530614
Revolution Case,buy,0.29,904441,"904,441 buy orders at $0.29 or higher",2026-05-12 18:45:10.881302,0.48,0.49,0.010000000000000009,0.02040816326530614
Revolution Case,buy,0.28,1020764,"1,020,764 buy orders at $0.28 or higher",2026-05-12 18:45:10.881302,0.48,0.49,0.010000000000000009,0.02040816326530614
Revolution Case,buy,0.27,1124301,"1,124,301 buy orders at $0.27 or higher",2026-05-12 18:45:10.881302,0.48,0.49,0.010000000000000009,0.02040816326530614
Revolution Case,buy,0.26,1272495,"1,272,495 buy orders at $0.26 or higher",2026-05-12 18:45:10.881302,0.48,0.49,0.010000000000000009,0.02040816326530614
Revolution Case,buy,0.25,1386673,"1,386,673 buy orders at $0.25 or higher",2026-05-12 18:45:10.881302,0.48,0.49,0.010000000000000009,0.02040816326530614
Revolution Case,buy,0.24,1448704,"1,448,704 buy orders at $0.24 or higher",2026-05-12 18:45:10.881302,0.48,0.49,0.010000000000000009,0.02040816326530614
Revolution Case,buy,0.23,1549838,"1,549,838 buy orders at $0.23 or higher",2026-05-12 18:45:10.881302,0.48,0.49,0.010000000000000009,0.02040816326530614
Revolution Case,buy,0.21,1602560,"1,602,560 buy orders at $0.21 or higher",2026-05-12 18:45:10.881302,0.48,0.49,0.010000000000000009,0.02040816326530614
Revolution Case,buy,0.2,1710666,"1,710,666 buy orders at $0.20 or higher",2026-05-12 18:45:10.881302,0.48,0.49,0.010000000000000009,0.02040816326530614
Revolution Case,buy,0.19,1788043,"1,788,043 buy orders at $0.19 or higher",2026-05-12 18:45:10.881302,0.48,0.49,0.010000000000000009,0.02040816326530614
Revolution Case,buy,0.18,1840909,"1,840,909 buy orders at $0.18 or higher",2026-05-12 18:45:10.881302,0.48,0.49,0.010000000000000009,0.02040816326530614
Revolution Case,buy,0.17,1934348,"1,934,348 buy orders at $0.17 or higher",2026-05-12 18:45:10.881302,0.48,0.49,0.010000000000000009,0.02040816326530614
Revolution Case,buy,0.16,1983013,"1,983,013 buy orders at $0.16 or higher",2026-05-12 18:45:10.881302,0.48,0.49,0.010000000000000009,0.02040816326530614
Revolution Case,buy,0.15,2073223,"2,073,223 buy orders at $0.15 or higher",2026-05-12 18:45:10.881302,0.48,0.49,0.010000000000000009,0.02040816326530614
Revolution Case,buy,0.14,2132073,"2,132,073 buy orders at $0.14 or higher",2026-05-12 18:45:10.881302,0.48,0.49,0.010000000000000009,0.02040816326530614
Revolution Case,buy,0.13,2176760,"2,176,760 buy orders at $0.13 or higher",2026-05-12 18:45:10.881302,0.48,0.49,0.010000000000000009,0.02040816326530614
Revolution Case,buy,0.12,2281843,"2,281,843 buy orders at $0.12 or higher",2026-05-12 18:45:10.881302,0.48,0.49,0.010000000000000009,0.02040816326530614
Revolution Case,buy,0.11,2342555,"2,342,555 buy orders at $0.11 or higher",2026-05-12 18:45:10.881302,0.48,0.49,0.010000000000000009,0.02040816326530614
Revolution Case,buy,0.1,2443779,"2,443,779 buy orders at $0.10 or higher",2026-05-12 18:45:10.881302,0.48,0.49,0.010000000000000009,0.02040816326530614
Revolution Case,buy,0.09,2543450,"2,543,450 buy orders at $0.09 or higher",2026-05-12 18:45:10.881302,0.48,0.49,0.010000000000000009,0.02040816326530614
Revolution Case,buy,0.08,2761433,"2,761,433 buy orders at $0.08 or higher",2026-05-12 18:45:10.881302,0.48,0.49,0.010000000000000009,0.02040816326530614
Revolution Case,buy,0.07,2942923,"2,942,923 buy orders at $0.07 or higher",2026-05-12 18:45:10.881302,0.48,0.49,0.010000000000000009,0.02040816326530614
Revolution Case,buy,0.06,3156344,"3,156,344 buy orders at $0.06 or higher",2026-05-12 18:45:10.881302,0.48,0.49,0.010000000000000009,0.02040816326530614
